AirportCode,AirportName,City,AdministrativeDivision,Country
MZH,Amasya Merzifon Airport,Merzifon,,Turkey
VAS,Sivas Nuri Demirağ Airport,Sivas,,Turkey
MLX,Malatya Erhaç Airport,Malatya,,Turkey
ASR,Kayseri Erkilet Airport,Kayseri,,Turkey
TJK,Tokat Airport,Tokat,,Turkey
DNZ,Çardak Airport,Denizli,,Turkey
ISL,Atatürk International Airport,Istanbul,Alaska,Turkey
BZI,Balıkesir Merkez Airport,Balikesir,,Turkey
BDM,Bandırma Airport,Bandirma,,Turkey
ESK,Eskişehir Air Base,Eskisehir,,Turkey
ADB,Adnan Menderes International Airport,Izmir,,Turkey
IGL,Çiğli Airport,Izmir,,Turkey
KCO,Cengiz Topel Airport,Topel,,Turkey
DLM,Dalaman International Airport,Dalaman,,Turkey
BXN,Imsık Airport,Bodrum,,Turkey
EZS,Elazığ Airport,Elazig,,Turkey
DIY,Diyarbakir Airport,Diyabakir,,Turkey
ERC,Erzincan Airport,Erzincan,,Turkey
ERZ,Erzurum International Airport,Erzurum,,Turkey
TZX,Trabzon International Airport,Trabzon,,Turkey
VAN,Van Ferit Melen Airport,Van,,Turkey
BAL,Batman Airport,Batman,,Turkey
SXZ,Siirt Airport,Siirt,,Turkey
BZY,Bălți International Airport,Saltsy,,Moldova
KIV,Chişinău International Airport,Chisinau,,Moldova
OHD,Ohrid St. Paul the Apostle Airport,Ohrid,,Macedonia
SKP,Skopje Alexander the Great Airport,Skopje,,Macedonia
GIB,Gibraltar Airport,Gibraltar,,Gibraltar
BEG,Belgrade Nikola Tesla Airport,Belgrade,,Serbia
INI,Nis Airport,Nis,,Serbia
TGD,Podgorica Airport,Podgorica,,Montenegro
PRN,Priština International Airport,Pristina,,Serbia
TIV,Tivat Airport,Tivat,,Montenegro
BTS,M. R. Štefánik Airport,Bratislava,,Slovakia
KSC,Košice Airport,Kosice,,Slovakia
PZY,Piešťany Airport,Piestany,,Slovakia
SLD,Sliač Airport,Sliac,,Slovakia
TAT,Poprad-Tatry Airport,Poprad,,Slovakia
NCA,North Caicos Airport,North Caicos,Turks & Caicos,Turks and Caicos Islands
PLS,Providenciales Airport,Providenciales,,Turks and Caicos Islands
XSC,South Caicos Airport,South Caicos,Turks & Caicos,Turks and Caicos Islands
BRX,Maria Montez International Airport,Barahona,,Dominican Republic
CBJ,Cabo Rojo Airport,Cabo Rojo,,Dominican Republic
LRM,Casa De Campo International Airport,La Romana,,Dominican Republic
PUJ,Punta Cana International Airport,Punta Cana,,Dominican Republic
POP,Gregorio Luperon International Airport,Puerto Plata,,Dominican Republic
SDQ,Las Américas International Airport,Santo Domingo,,Dominican Republic
STI,Cibao International Airport,Santiago,,Dominican Republic
CBV,Coban Airport,Coban,,Guatemala
GUA,La Aurora Airport,Guatemala City,,Guatemala
RER,Retalhuleu Airport,Retalhuleu,,Guatemala
GSJ,San José Airport,San Jose,,Guatemala
LCE,Goloson International Airport,La Ceiba,,Honduras
SAP,Ramón Villeda Morales International Airport,San Pedro Sula,,Honduras
GJA,La Laguna Airport,Guanaja,,Honduras
RTB,Juan Manuel Galvez International Airport,Roatan,,Honduras
TEA,Tela Airport,Tela,,Honduras
TGU,Toncontín International Airport,Tegucigalpa,,Honduras
TJI,Trujillo Airport,Trujillo,,Honduras
OCJ,Boscobel Aerodrome,Ocho Rios,,Jamaica
KIN,Norman Manley International Airport,Kingston,,Jamaica
MBJ,Sangster International Airport,Montego Bay,,Jamaica
POT,Ken Jones Airport,Port Antonio,,Jamaica
KTP,Tinson Pen Airport,Kingston,,Jamaica
ACA,General Juan N Alvarez International Airport,Acapulco,,Mexico
NTR,Del Norte International Airport,Monterrey,,Mexico
AGU,Jesús Terán Paredo International Airport,Aguascalientes,,Mexico
HUX,Bahías de Huatulco International Airport,Huatulco,,Mexico
CVJ,General Mariano Matamoros Airport,Cuernavaca,,Mexico
ACN,Ciudad Acuña New International Airport,Ciudad Acuna,,Mexico
CME,Ciudad del Carmen International Airport,Ciudad Del Carmen,,Mexico
NCG,Nuevo Casas Grandes Airport,Nuevo Casas Grandes,,Mexico
CUL,Bachigualato Federal International Airport,Culiacan,,Mexico
CTM,Chetumal International Airport,Chetumal,,Mexico
CEN,Ciudad Obregón International Airport,Ciudad Obregon,,Mexico
CPE,Ingeniero Alberto Acuña Ongay International Airport,Campeche,,Mexico
CJS,Abraham González International Airport,Ciudad Juarez,,Mexico
CUU,General Roberto Fierro Villalobos International Airport,Chihuahua,,Mexico
CVM,General Pedro Jose Mendez International Airport,Ciudad Victoria,,Mexico
CZM,Cozumel International Airport,Cozumel,,Mexico
DGO,General Guadalupe Victoria International Airport,Durango,,Mexico
TPQ,Amado Nervo National Airport,Tepic,,Mexico
ESE,Ensenada International Airport,Ensenada,,Mexico
GDL,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,,Mexico
GYM,General José María Yáñez International Airport,Guaymas,,Mexico
TCN,Tehuacan Airport,Tehuacan,,Mexico
HMO,General Ignacio P. Garcia International Airport,Hermosillo,,Mexico
CLQ,Licenciado Miguel de la Madrid Airport,Colima,,Mexico
ISJ,Isla Mujeres Airport,Isla Mujeres,,Mexico
SLW,Plan De Guadalupe International Airport,Saltillo,,Mexico
IZT,Ixtepec Airport,Iztepec,,Mexico
LZC,Lázaro Cárdenas Airport,Lazard Cardenas,,Mexico
LMM,Valle del Fuerte International Airport,Los Mochis,,Mexico
BJX,Del Bajío International Airport,Del Bajio,,Mexico
LAP,Manuel Márquez de León International Airport,La Paz,,Mexico
LTO,Loreto International Airport,Loreto,,Mexico
MAM,General Servando Canales International Airport,Matamoros,,Mexico
MID,Licenciado Manuel Crescencio Rejon Int Airport,Merida,,Mexico
MXL,General Rodolfo Sánchez Taboada International Airport,Mexicali,,Mexico
MLM,General Francisco J. Mujica International Airport,Morelia,,Mexico
MTT,Minatitlán/Coatzacoalcos National Airport,Minatitlan,,Mexico
LOV,Monclova International Airport,Monclova,,Mexico
MEX,Licenciado Benito Juarez International Airport,Mexico City,,Mexico
MTY,General Mariano Escobedo International Airport,Monterrey,,Mexico
MZT,General Rafael Buelna International Airport,Mazatlan,,Mexico
NOG,Nogales International Airport,Nogales,,Mexico
NLD,Quetzalcóatl International Airport,Nuevo Laredo,,Mexico
OAX,Xoxocotlán International Airport,Oaxaca,,Mexico
PAZ,El Tajín National Airport,Poza Rico,,Mexico
PBC,Hermanos Serdán International Airport,Puebla,,Mexico
PPE,Mar de Cortés International Airport,Punta Penasco,,Mexico
PDS,Piedras Negras International Airport,Piedras Negras,,Mexico
UPN,Licenciado y General Ignacio Lopez Rayon Airport,Uruapan,,Mexico
PVR,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,,Mexico
PXM,Puerto Escondido International Airport,Puerto Escondido,,Mexico
QRO,Querétaro Intercontinental Airport,Queretaro,,Mexico
REX,General Lucio Blanco International Airport,Reynosa,,Mexico
SJD,Los Cabos International Airport,San Jose Del Cabo,,Mexico
SFH,San Felipe International Airport,San Filipe,,Mexico
SLP,Ponciano Arriaga International Airport,San Luis Potosi,,Mexico
TRC,Francisco Sarabia International Airport,Torreon,,Mexico
TGZ,Angel Albino Corzo International Airport,Tuxtla Gutierrez,,Mexico
TIJ,General Abelardo L. Rodríguez International Airport,Tijuana,,Mexico
TAM,General Francisco Javier Mina International Airport,Tampico,,Mexico
TSL,Tamuin Airport,Tamuin,,Mexico
TLC,Licenciado Adolfo Lopez Mateos International Airport,Toluca,,Mexico
TAP,Tapachula International Airport,Tapachula,,Mexico
CUN,Cancún International Airport,Cancun,,Mexico
VSA,Carlos Rovirosa Pérez International Airport,Villahermosa,,Mexico
VER,General Heriberto Jara International Airport,Vera Cruz,,Mexico
ZCL,General Leobardo C. Ruiz International Airport,Zacatecas,,Mexico
ZIH,Ixtapa Zihuatanejo International Airport,Zihuatanejo,,Mexico
ZMM,Zamora Airport,Zamora,,Mexico
ZLO,Playa De Oro International Airport,Manzanillo,,Mexico
BEF,Bluefields Airport,Bluefields,,Nicaragua
MGA,Augusto C. Sandino (Managua) International Airport,Managua,,Nicaragua
PUZ,Puerto Cabezas Airport,Puerto Cabezas,,Nicaragua
BOC,Bocas Del Toro International Airport,Bocas Del Toro,,Panama
CHX,Cap Manuel Niño International Airport,Changuinola,,Panama
DAV,Enrique Malek International Airport,David,,Panama
BLB,Panama Pacific International Airport,Howard,,Panama
PAC,Marcos A. Gelabert International Airport,Panama,,Panama
SYP,Ruben Cantu Airport,Santiago,,Panama
PTY,Tocumen International Airport,Panama City,,Panama
BAI,Buenos Aires Airport,Buenos Aires,,Costa Rica
OTR,Coto 47 Airport,Coto 47,,Costa Rica
JAP,Chacarita Airport,Chacarita,,Costa Rica
GLF,Golfito Airport,Golfito,,Costa Rica
GPL,Guapiles Airport,Guapiles,,Costa Rica
LIR,Daniel Oduber Quiros International Airport,Liberia,,Costa Rica
LSL,Los Chiles Airport,Los Chiles,,Costa Rica
LIO,Limon International Airport,Limon,,Costa Rica
NOB,Nosara Airport,Nosara Beach,,Costa Rica
SJO,Juan Santamaria International Airport,San Jose,,Costa Rica
PMZ,Palmar Sur Airport,Palmar Sur,,Costa Rica
XQP,Quepos Managua Airport,Quepos,,Costa Rica
TOO,San Vito De Java Airport,San Vito De Jaba,,Costa Rica
SAL,Monseñor Óscar Arnulfo Romero International Airport,San Salvador,,El Salvador
CYA,Les Cayes Airport,Cayes,,Haiti
CAP,Cap Haitien International Airport,Cap Haitien,,Haiti
JAK,Jacmel Airport,Jacmel,,Haiti
PAP,Toussaint Louverture International Airport,Port-au-prince,,Haiti
BCA,Gustavo Rizo Airport,Baracoa Playa,,Cuba
BYM,Carlos Manuel de Cespedes Airport,Bayamo,,Cuba
AVI,Maximo Gomez Airport,Ciego De Avila,,Cuba
CCC,Jardines Del Rey Airport,Cunagua,,Cuba
CFG,Jaime Gonzalez Airport,Cienfuegos,,Cuba
CYO,Vilo Acuña International Airport,Cayo Largo del Sur,,Cuba
CMW,Ignacio Agramonte International Airport,Camaguey,,Cuba
SCU,Antonio Maceo International Airport,Santiago De Cuba,,Cuba
NBW,Leeward Point Field,Guantanamo,,Cuba
GAO,Mariana Grajales Airport,Guantanamo,,Cuba
HAV,José Martí International Airport,Havana,,Cuba
HOG,Frank Pais International Airport,Holguin,,Cuba
LCL,La Coloma Airport,La Coloma,,Cuba
MOA,Orestes Acosta Airport,Moa,,Cuba
MZO,Sierra Maestra Airport,Manzanillo,,Cuba
GER,Rafael Cabrera Airport,Nueva Gerona,,Cuba
UPB,Playa Baracoa Airport,Baracoa Playa,,Cuba
QPD,Pinar Del Rio Airport,Pinar Del Rio Norte,,Cuba
SNU,Abel Santamaria Airport,Santa Clara,,Cuba
SZJ,Siguanea Airport,Siguanea,,Cuba
USS,Sancti Spiritus Airport,Sancti Spiritus,,Cuba
VRA,Juan Gualberto Gomez International Airport,Varadero,,Cuba
VTU,Hermanos Ameijeiras Airport,Las Tunas,,Cuba
CYB,Gerrard Smith International Airport,Cayman Brac,,Cayman Islands
GCM,Owen Roberts International Airport,Georgetown,,Cayman Islands
MAY,Clarence A. Bain Airport,Clarence Bain,,Bahamas
ASD,Andros Town Airport,Andros Town,,Bahamas
MHH,Leonard M Thompson International Airport,Marsh Harbor,,Bahamas
SAQ,San Andros Airport,San Andros,,Bahamas
AXP,Spring Point Airport,Spring Point,,Bahamas
TCB,Treasure Cay Airport,Treasure Cay,,Bahamas
CCZ,Chub Cay Airport,Chub Cay,,Bahamas
GHC,Great Harbour Cay Airport,Bullocks Harbour,,Bahamas
BIM,South Bimini Airport,Alice Town,,Bahamas
GGT,Exuma International Airport,Great Exuma,,Bahamas
ELH,North Eleuthera Airport,North Eleuthera,,Bahamas
GHB,Governor's Harbour Airport,Governor's Harbor,,Bahamas
NMC,Normans Cay Airport,Norman's Cay,,Bahamas
RSD,Rock Sound Airport,Rock Sound,,Bahamas
TYM,Staniel Cay Airport,Staniel Cay,,Bahamas
FPO,Grand Bahama International Airport,Freeport,,Bahamas
IGA,Inagua Airport,Matthew Town,,Bahamas
LGI,Deadman's Cay Airport,Dead Man's Cay,L.I.,Bahamas
SML,Stella Maris Airport,Stella Maris,L.I.,Bahamas
MYG,Mayaguana Airport,Mayaguana,,Bahamas
NAS,Lynden Pindling International Airport,Nassau,,Bahamas
DCT,Duncan Town Airport,Duncan Town,Ragged Island,Bahamas
RCY,Rum Cay Airport,Port Nelson,,Bahamas
ZSA,San Salvador Airport,Cockburn Town,,Bahamas
BZE,Philip S. W. Goldson International Airport,Belize City,,Belize
AIT,Aitutaki Airport,Aitutaki,Cook Is.,Cook Islands
RAR,Rarotonga International Airport,Avarua,Cook Is.,Cook Islands
NAN,Nadi International Airport,Nandi,,Fiji
SUV,Nausori International Airport,Nausori,,Fiji
TBU,Fua'amotu International Airport,Tongatapu,Tonga Island,Tonga
VAV,Vava'u International Airport,Vava'u,,Tonga
TRW,Bonriki International Airport,Tarawa,Gilbert Is.,Kiribati
TBF,Tabiteuea North Airport,Tabiteuea North,Gilbert Is.,Kiribati
WLS,Hihifo Airport,Wallis,,Wallis and Futuna
APW,Faleolo International Airport,Faleolo,,Samoa
PPG,Pago Pago International Airport,Pago Pago,,American Samoa
RUR,Rurutu Airport,Rurutu,,French Polynesia
TUB,Tubuai Airport,Tubuai,Austral Is.,French Polynesia
AAA,Anaa Airport,Anaa,,French Polynesia
FGU,Fangatau Airport,Fangatau,,French Polynesia
TIH,Tikehau Airport,Tikehau,,French Polynesia
REA,Reao Airport,Reao,,French Polynesia
FAV,Fakarava Airport,Fakarava,,French Polynesia
XMH,Manihi Airport,Manihi,,French Polynesia
GMR,Totegegie Airport,Totegegie,Fr. Polynesia,French Polynesia
KKR,Kaukura Airport,Kaukura Atoll,,French Polynesia
MKP,Makemo Airport,Makemo,Fr. Polynesia,French Polynesia
PKP,Puka Puka Airport,Puka Puka,,French Polynesia
TKP,Takapoto Airport,Takapoto,,French Polynesia
AXR,Arutua Airport,Arutua,,French Polynesia
MVT,Mataiva Airport,Mataiva,,French Polynesia
TKX,Takaroa Airport,Takaroa,,French Polynesia
NHV,Nuku Hiva Airport,Nuku Hiva,,French Polynesia
BOB,Bora Bora Airport,Bora Bora,Soc. Is.,French Polynesia
RGI,Rangiroa Airport,Rangiroa,,French Polynesia
HUH,Huahine-Fare Airport,Huahine Island,Soc. Is.,French Polynesia
MOZ,Moorea Airport,Moorea,,French Polynesia
HOI,Hao Airport,Hao Island,Fr. Polynesia,French Polynesia
MAU,Maupiti Airport,Maupiti,Society Is.,French Polynesia
RFP,Raiatea Airport,Raiatea Island,Soc. Is.,French Polynesia
VLI,Bauerfield International Airport,Port-vila,,Vanuatu
KNQ,Koné Airport,Kone,,New Caledonia
KOC,Koumac Airport,Koumac,,New Caledonia
LIF,Lifou Airport,Lifou,Loyalty Is.,New Caledonia
GEA,Nouméa Magenta Airport,Noumea,,New Caledonia
MEE,Maré Airport,Mare,Loyalty Is.,New Caledonia
TOU,Touho Airport,Touho,,New Caledonia
UVE,Ouvéa Airport,Ouvea,Loyalty Is,New Caledonia
NOU,La Tontouta International Airport,Noumea,,New Caledonia
AKL,Auckland International Airport,Auckland,,New Zealand
TUO,Taupo Airport,Taupo,,New Zealand
AMZ,Ardmore Airport,Ardmore,,New Zealand
CHC,Christchurch International Airport,Christchurch,,New Zealand
CHT,Chatham Islands-Tuuta Airport,Chatham Island,,New Zealand
DUD,Dunedin Airport,Dunedin,,New Zealand
GIS,Gisborne Airport,Gisborne,,New Zealand
GTN,Glentanner Airport,Glentanner,,New Zealand
HKK,Hokitika Airfield,Hokitika,,New Zealand
HLZ,Hamilton International Airport,Hamilton,,New Zealand
KKE,Kerikeri Airport,Kerikeri,,New Zealand
KAT,Kaitaia Airport,Kaitaia,,New Zealand
ALR,Alexandra Airport,Alexandra,,New Zealand
MON,Mount Cook Airport,Mount Cook,,New Zealand
TEU,Manapouri Airport,Manapouri,,New Zealand
MRO,Hood Airport,Masterton,,New Zealand
NPL,New Plymouth Airport,New Plymouth,,New Zealand
NSN,Nelson Airport,Nelson,,New Zealand
IVC,Invercargill Airport,Invercargill,,New Zealand
OHA,RNZAF Base Ohakea,Ohakea,,New Zealand
OAM,Oamaru Airport,Oamaru,,New Zealand
PMR,Palmerston North Airport,Palmerston North,,New Zealand
PPQ,Paraparaumu Airport,Paraparaumu,,New Zealand
ZQN,Queenstown International Airport,Queenstown International,,New Zealand
ROT,Rotorua Regional Airport,Rotorua,,New Zealand
TRG,Tauranga Airport,Tauranga,,New Zealand
TIU,Timaru Airport,Timaru,,New Zealand
TWZ,Pukaki Airport,Pukaki,,New Zealand
BHE,Woodbourne Airport,Woodbourne,,New Zealand
WKA,Wanaka Airport,Wanaka,,New Zealand
WHK,Whakatane Airport,Whakatane,,New Zealand
WLG,Wellington International Airport,Wellington,,New Zealand
WIR,Wairoa Airport,Wairoa,,New Zealand
WRE,Whangarei Airport,Whangarei,,New Zealand
WSZ,Westport Airport,Westport,,New Zealand
WAG,Wanganui Airport,Wanganui,,New Zealand
HEA,Herat Airport,Herat,,Afghanistan
JAA,Jalalabad Airport,Jalalabad,,Afghanistan
KBL,Hamid Karzai International Airport,Kabul,,Afghanistan
KDH,Kandahar Airport,Kandahar,,Afghanistan
MMZ,Maimana Airport,Maimama,,Afghanistan
MZR,Mazar I Sharif Airport,Mazar-i-sharif,,Afghanistan
OAH,Shindand Airport,Shindand,,Afghanistan
UND,Konduz Airport,Kunduz,,Afghanistan
BAH,Bahrain International Airport,Bahrain,,Bahrain
AHB,Abha Regional Airport,Abha,,Saudi Arabia
HOF,Al Ahsa Airport,Al-ahsa,,Saudi Arabia
ABT,Al Baha Airport,El-baha,,Saudi Arabia
BHH,Bisha Airport,Bisha,,Saudi Arabia
DMM,King Fahd International Airport,Dammam,,Saudi Arabia
DHA,King Abdulaziz Air Base,Dhahran,,Saudi Arabia
GIZ,Jizan Regional Airport,Gizan,,Saudi Arabia
ELQ,Gassim Airport,Gassim,,Saudi Arabia
URY,Gurayat Domestic Airport,Guriat,,Saudi Arabia
HAS,Ha'il Airport,Hail,,Saudi Arabia
QJB,Jubail Airport,Jubail,,Saudi Arabia
JED,King Abdulaziz International Airport,Jeddah,,Saudi Arabia
KMC,King Khaled Military City Airport,King Khalid Mil.city,Alaska,Saudi Arabia
MED,Prince Mohammad Bin Abdulaziz Airport,Madinah,,Saudi Arabia
EAM,Nejran Airport,Nejran,,Saudi Arabia
AQI,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,,Saudi Arabia
RAH,Rafha Domestic Airport,Rafha,,Saudi Arabia
RUH,King Khaled International Airport,Riyadh,,Saudi Arabia
RAE,Arar Domestic Airport,Arar,,Saudi Arabia
SHW,Sharurah Airport,Sharurah,,Saudi Arabia
SLF,Sulayel Airport,Sulayel,,Saudi Arabia
TUU,Tabuk Airport,Tabuk,,Saudi Arabia
TIF,Ta’if Regional Airport,Taif,,Saudi Arabia
TUI,Turaif Domestic Airport,Turaif,,Saudi Arabia
EJH,Al Wajh Domestic Airport,Wejh,,Saudi Arabia
YNB,Prince Abdulmohsin Bin Abdulaziz Airport,Yenbo,,Saudi Arabia
ABD,Abadan Airport,Abadan,,Iran
DEF,Dezful Airport,Dezful,,Iran
AKW,Aghajari Airport,Aghajari,,Iran
GCH,Gachsaran Airport,Gachsaran,,Iran
OMI,Omidiyeh Airport,Omidyeh,,Iran
MRX,Mahshahr Airport,Bandar Mahshahr,,Iran
AWZ,Ahwaz Airport,Ahwaz,,Iran
AEU,Abu Musa Island Airport,Abumusa I.,,Iran
BUZ,Bushehr Airport,Bushehr,,Iran
KIH,Kish International Airport,Kish Island,Iran,Iran
BDH,Bandar Lengeh Airport,Bandar Lengeh,,Iran
KHK,Khark Island Airport,Khark Island,,Iran
SXI,Sirri Island Airport,Siri Island,Iran,Iran
LVP,Lavan Island Airport,Lavan Island,Iran,Iran
KSH,Shahid Ashrafi Esfahani Airport,Bakhtaran,,Iran
SDG,Sanandaj Airport,Sanandaj,,Iran
IFH,Hesa Airport,Daran,,Iran
KKS,Kashan Airport,Kashan,,Iran
IFN,Esfahan Shahid Beheshti International Airport,Esfahan,,Iran
RAS,Sardar-e-Jangal Airport,Rasht,,Iran
AJK,Arak Airport,Arak,,Iran
THR,Mehrabad International Airport,Teheran,,Iran
GZW,Qazvin Airport,Ghazvin,,Iran
BND,Bandar Abbas International Airport,Bandar Abbas,,Iran
JYR,Jiroft Airport,Jiroft,,Iran
KER,Kerman Airport,Kerman,,Iran
HDR,Havadarya Airport,Bandar Abbas,,Iran
SYJ,Sirjan Airport,Sirjan,,Iran
XBJ,Birjand Airport,Birjand,,Iran
CKT,Sarakhs Airport,Sarakhs,,Iran
RUD,Shahroud Airport,Emam Shahr,,Iran
TCX,Tabas Airport,Tabas,,Iran
KLM,Kalaleh Airport,Kalaleh,,Iran
RZR,Ramsar Airport,Ramsar,,Iran
FAZ,Fasa Airport,Fasa,,Iran
JAR,Jahrom Airport,Jahrom,California,Iran
LFM,Lamerd Airport,Lamerd,,Iran
SYZ,Shiraz Shahid Dastghaib International Airport,Shiraz,,Iran
KHY,Khoy Airport,Khoy,,Iran
TBZ,Tabriz International Airport,Tabriz,,Iran
JWN,Zanjan Airport,Zanjan,,Iran
AZD,Shahid Sadooghi Airport,Yazd,,Iran
ACZ,Zabol Airport,Zabol,,Iran
ZBR,Konarak Airport,Chah Bahar,,Iran
ZAH,Zahedan International Airport,Zahedan,,Iran
IHR,Iran Shahr Airport,Iran Shahr,,Iran
AMM,Queen Alia International Airport,Amman,,Jordan
ADJ,Amman-Marka International Airport,Amman,,Jordan
AQJ,Aqaba King Hussein International Airport,Aqaba,,Jordan
OMF,King Hussein Air College,Mafraq,,Jordan
KWI,Kuwait International Airport,Kuwait,,Kuwait
BEY,Beirut Rafic Hariri International Airport,Beirut,,Lebanon
KYE,Rene Mouawad Air Base,Kleiat,,Lebanon
AUH,Abu Dhabi International Airport,Abu Dhabi,,United Arab Emirates
AZI,Bateen Airport,Abu Dhabi,,United Arab Emirates
DHF,Al Dhafra Air Base,Abu Dhabi,,United Arab Emirates
DXB,Dubai International Airport,Dubai,,United Arab Emirates
FJR,Fujairah International Airport,Fujeirah,,United Arab Emirates
RKT,Ras Al Khaimah International Airport,Ras Al Khaimah,,United Arab Emirates
SHJ,Sharjah International Airport,Sharjah,,United Arab Emirates
KHS,Khasab Air Base,Khasab,,Oman
MSH,Masirah Air Base,Masirah,,Oman
MCT,Muscat International Airport,Muscat,,Oman
SLL,Salalah Airport,Salalah,,Oman
TTH,Thumrait Air Base,Thumrait,,Oman
BHW,Bhagatanwala Airport,Bhagtanwala,,Pakistan
LYP,Faisalabad International Airport,Faisalabad,,Pakistan
GWD,Gwadar International Airport,Gwadar,,Pakistan
GIL,Gilgit Airport,Gilgit,,Pakistan
JAG,Shahbaz Air Base,Jacobsbad,,Pakistan
KHI,Jinnah International Airport,Karachi,,Pakistan
LHE,Alama Iqbal International Airport,Lahore,,Pakistan
XJM,Mangla Airport,Mangla,,Pakistan
MFG,Muzaffarabad Airport,Muzaffarabad,,Pakistan
MWD,Mianwali Air Base,Mianwali,,Pakistan
MJD,Moenjodaro Airport,Moenjodaro,,Pakistan
MUX,Multan International Airport,Multan,,Pakistan
WNS,Shaheed Benazirabad Airport,Nawabshah,,Pakistan
PJG,Panjgur Airport,Panjgur,,Pakistan
PSI,Pasni Airport,Pasni,,Pakistan
PEW,Peshawar International Airport,Peshawar,,Pakistan
UET,Quetta International Airport,Quetta,,Pakistan
RYK,Shaikh Zaid Airport,Rahim Yar Khan,,Pakistan
RAZ,Rawalakot Airport,Rawala Kot,,Pakistan
SKZ,Sukkur Airport,Sukkur,,Pakistan
SDT,Saidu Sharif Airport,Saidu Sharif,,Pakistan
SUL,Sui Airport,Sui,,Pakistan
BDN,Talhar Airport,Talhar,,Pakistan
WAF,Wana Airport,Wana,,Pakistan
PZH,Zhob Airport,Zhob,,Pakistan
BSR,Basrah International Airport,Basrah,,Iraq
ALP,Aleppo International Airport,Aleppo,,Syria
DAM,Damascus International Airport,Damascus,,Syria
DEZ,Deir ez-Zor Air Base,Deire Zor,,Syria
LTK,Bassel Al-Assad International Airport,Latakia,,Syria
PMS,Palmyra Airport,Palmyra,,Syria
DIA,Doha International Airport,Doha,,Qatar
CIS,Canton Island Airport,Canton Island,,Kiribati
ROP,Rota International Airport,Rota,,Northern Mariana Islands
SPN,Saipan International Airport,Saipan,,Northern Mariana Islands
UAM,Andersen Air Force Base,Andersen,,Guam
GUM,Antonio B. Won Pat International Airport,Agana,,Guam
TIQ,Tinian International Airport,West Tinian,,Northern Mariana Islands
MAJ,Marshall Islands International Airport,Majuro,,Marshall Islands
KWA,Bucholz Army Air Field,Kwajalein,,Marshall Islands
CXI,Cassidy International Airport,Kiritimati,,Kiribati
MDY,Henderson Field,Midway,,Midway Islands
TKK,Chuuk International Airport,Chuuk,Caroline Is.,Micronesia
PNI,Pohnpei International Airport,Pohnpei,Caroline Is.,Micronesia
ROR,Babelthuap Airport,Babelthuap,Palau Is.,Palau
KSA,Kosrae International Airport,Kosrae,,Micronesia
YAP,Yap International Airport,Yap,Caroline Is.,Micronesia
KNH,Kinmen Airport,Kinmen,,Taiwan
TTT,Taitung Airport,Fengnin,,Taiwan
GNI,Lyudao Airport,Green Island,,Taiwan
KHH,Kaohsiung International Airport,Kaohsiung,,Taiwan
CYI,Chiayi Airport,Chiayi,,Taiwan
KYD,Lanyu Airport,Lanyu,,Taiwan
RMQ,Taichung Ching Chuang Kang Airport,Taichung,,Taiwan
TNN,Tainan Airport,Tainan,,Taiwan
HSZ,Hsinchu Air Base,Hsinchu,,Taiwan
MZG,Makung Airport,Makung,,Taiwan
PIF,Pingtung North Airport,Pingtung,,Taiwan
TSA,Taipei Songshan Airport,Taipei,,Taiwan
TPE,Taiwan Taoyuan International Airport,Taipei,,Taiwan
WOT,Wang-an Airport,Wang An,,Taiwan
HUN,Hualien Airport,Hualien,,Taiwan
NRT,Narita International Airport,Tokyo,,Japan
MMJ,Matsumoto Airport,Matsumoto,,Japan
IBR,Hyakuri Airport,Ibaraki,,Japan
MUS,Minami Torishima Airport,Minami Tori Shima,,Japan
IWO,Iwo Jima Airport,Iwojima,,Japan
SHM,Nanki Shirahama Airport,Nanki-shirahama,,Japan
OBO,Tokachi-Obihiro Airport,Obihiro,,Japan
CTS,New Chitose Airport,Sapporo,,Japan
HKD,Hakodate Airport,Hakodate,,Japan
MMB,Memanbetsu Airport,Memanbetsu,,Japan
SHB,Nakashibetsu Airport,Nakashibetsu,,Japan
WKJ,Wakkanai Airport,Wakkanai,,Japan
IKI,Iki Airport,Iki,,Japan
UBJ,Yamaguchi Ube Airport,Yamaguchi,,Japan
TSJ,Tsushima Airport,Tsushima,,Japan
MBE,Monbetsu Airport,Monbetsu,,Japan
AKJ,Asahikawa Airport,Asahikawa,,Japan
OIR,Okushiri Airport,Okushiri,,Japan
RIS,Rishiri Airport,Rishiri Island,,Japan
KUM,Yakushima Airport,Yakushima,,Japan
FUJ,Fukue Airport,Fukue,,Japan
FUK,Fukuoka Airport,Fukuoka,,Japan
TNE,New Tanegashima Airport,Tanegashima,,Japan
KOJ,Kagoshima Airport,Kagoshima,,Japan
KMI,Miyazaki Airport,Miyazaki,,Japan
OIT,Oita Airport,Oita,,Japan
KKJ,Kitakyūshū Airport,Kitakyushu,,Japan
KMJ,Kumamoto Airport,Kumamoto,,Japan
NGS,Nagasaki Airport,Nagasaki,,Japan
ASJ,Amami Airport,Amami,,Japan
OKE,Okierabu Airport,Okierabu,,Japan
TKN,Tokunoshima Airport,Tokunoshima,,Japan
FKJ,Fukui Airport,Fukui,,Japan
